Type_of_property,Subtype_of_property,Locality,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
House,House,6767 — Rouvroy Lamorteau,295000,,3,122,Semi equipped,No,0,0,1633,1634,,4,0,Good
House,House,5000 — Namur,335000,,3,282,Semi equipped,No,0,0,11002,1100,,4,0,Good
House,House,6672 — Beho,260000,,4,316,Semi equipped,No,0,0,769,906,,3,0,Good
House,House,8540 — Deerlijk,348000,,3,300,Installed,No,0,0,0,326,,3,0,Just renovated
House,House,4400 — FLÉMALLE-GRANDE,175000,,3,130,Installed,No,0,0,0,175,,2,0,Good
House,Bungalow,5300 — Andenne,255000,,2,100,Installed,No,0,0,200,408,,4,0,Just renovated
House,House,3020 — Herent,355000,,2,121,Installed,No,0,0,0,162,,2,0,Good
House,House,3120 — Tremelo,370000,,3,164,Installed,No,1,0,0,770,,4,0,To be done up
House,House,3020 — Herent,380000,,3,110,Semi equipped,No,0,0,51,163,,3,0,Good
House,Villa,2490 — Balen,549000,,3,310,Installed,No,1,0,0,1389,,4,0,As new
House,Mansion,7972 — QUEVAUCAMPS,650000,,5,350,Installed,No,0,0,0,3350,,4,0,Good
House,Country house,2861 — Sint-Katelijne-Waver Onze-Lieve-Vrouw-Waver,698000,,4,294,USA hyper equipped,No,0,0,0,3117,,4,0,As new
House,House,1060 — Saint-Gilles,935000,,3,250,USA hyper equipped,No,0,0,0,,250,2,0,Good
House,House,1755 — Gooik,1050000,,3,426,Not installed,No,0,0,0,1412,,4,0,Good
House,Mixed-use building,6870 — Saint-Hubert,89000,,3,180,Not installed,No,0,0,0,96,96,2,0,To renovate
House,House,4170 — Comblain-au-Pont,110000,,2,69,Not installed,No,0,0,80,144,,2,0,To renovate
House,House,4400 — Flémalle Flémalle-Haute,115000,,1,90,Installed,No,0,0,0,70,,2,0,Good
House,House,4430 — Ans,115000,,3,125,Not installed,No,0,0,0,77,,2,0,To renovate
House,House,9600 — Ronse,119500,,2,115,Installed,No,0,0,0,50,50,2,0,Good
House,Mixed-use building,4030 — Liège Grivegnée,129000,,3,156,Not installed,No,0,0,0,71,67,2,0,To be done up
House,Town-house,4020 — Liege,130000,,2,129,Not installed,No,0,0,0,91,91,2,0,To renovate
House,House,4990 — Arbrefontaine,135000,,3,124,Not installed,No,0,0,0,203,67,3,0,To be done up
House,House,9600 — Ronse,139000,,2,130,Installed,No,0,0,0,50,50,2,0,Good
House,House,9600 — Ronse,149000,,3,150,Not installed,No,0,0,20,90,70,2,0,To be done up
House,House,9600 — Ronse,159000,,5,207,Installed,No,0,0,0,160,140,2,0,To renovate
House,House,4000 — Liège,160000,,4,165,Not installed,No,0,0,96,183,,3,0,To renovate
House,House,4340 — Awans,169000,,3,120,Not installed,No,0,0,280,484,105,2,0,To renovate
House,House,4430 — Ans,175000,,2,84,Not installed,No,0,0,90,178,70,4,0,To renovate
House,House,4340 — Awans,179000,,2,100,Installed,No,0,0,177,260,,2,0,Good
House,House,4460 — GrÃce-Hollogne,179000,,3,150,Hyper equipped,No,0,0,0,134,98,3,0,Good
House,House,9600 — Ronse,179900,,4,140,Installed,No,0,0,0,70,70,2,0,Just renovated
House,House,4800 — Verviers Ensival,180000,,5,200,Installed,No,0,0,122,215,87,2,0,Good
House,House,9600 — Ronse,189000,,2,162,Installed,No,0,0,50,170,70,2,0,Good
House,Mixed-use building,9600 — Ronse,195000,,4,201,Not installed,No,0,0,105,370,265,2,0,To renovate
House,House,9600 — Ronse,199900,,3,162,Hyper equipped,No,0,0,0,94,70,2,0,Just renovated
House,Mixed-use building,4920 — Aywaille,209000,,5,208,Semi equipped,No,0,0,0,209,,3,0,To renovate
House,House,4920 — Aywaille,209000,,5,208,Semi equipped,No,0,0,0,209,,3,0,To renovate
House,Mansion,9600 — Ronse,220000,,3,189,Installed,No,0,0,75,231,122,2,0,To be done up
House,Bungalow,4530 — Villers-le-Bouillet,235000,,3,140,Semi equipped,No,0,0,1300,1423,100,4,0,To renovate
House,House,4050 — Chaudfontaine,239000,,5,250,Semi equipped,No,0,0,200,296,100,3,0,Good
House,House,4460 — GRÂCE-HOLLOGNE,239000,,3,175,Installed,No,0,0,175,440,,4,0,Just renovated
House,House,9600 — Ronse,239500,,4,173,Installed,No,0,0,85,190,80,2,0,As new
House,House,4420 — Saint-Nicolas Montegnée,245000,,3,116,USA hyper equipped,No,0,0,120,177,58,2,0,As new
House,House,9600 — Ronse,249900,,4,173,Hyper equipped,No,0,0,20,133,90,2,0,Just renovated
House,House,5030 — Gembloux,250000,,2,81,Semi equipped,No,1,0,400,633,,3,0,To be done up
House,House,1601 — Sint-Pieters-Leeuw,267000,,2,102,USA hyper equipped,No,0,0,15,81,102,2,0,As new
House,Apartment block,1080 — Molenbeek-Saint-Jean,275000,,8,270,Semi equipped,No,0,0,0,76,63,2,0,To restore
