Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,New real estate project - Houses,266600314800,,,,,,0,0,,0,,0,0,,0
House,Apartment block,675000,To renovate,700,700,125,2,0,0,2,0,,0,0,,1
House,House,490000,To be done up,167,167,300,5,1,1,2,0,,0,0,,0
House,House,235000,To be done up,91,91,191,4,0,0,2,0,,0,0,,0
House,House,309000,To renovate,179,102,215,3,0,0,2,1,77,0,0,,0
House,Town-house,410000,Good,146,146,178,4,0,1,2,0,,1,0,,0
House,Apartment block,235000,To be done up,91,91,191,4,0,0,2,0,,0,0,,1
House,Mixed-use building,225000,Good,71,71,201,2,0,1,2,0,,0,0,,1
House,Exceptional property,259000,To renovate,172,172,130,3,0,1,2,1,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,House,239000,To be done up,65,65,148,4,0,1,2,0,,0,0,,0
House,Apartment block,560000,Good,215,215,255,6,0,0,2,1,,0,0,,1
House,House,580000,Good,160,86,346,5,0,0,2,1,60,0,1,14,0
House,House,223000,To be done up,31,31,69,3,0,0,2,0,,0,0,,0
House,Apartment block,223000,To be done up,31,31,69,3,0,0,2,0,,0,0,,1
House,House,245000,To renovate,325,325,140,3,0,0,3,0,,0,0,,0
House,House,275000,To renovate,230,230,175,3,0,0,2,0,,0,0,,0
House,House,275000,Good,247,247,160,2,0,0,2,1,,0,0,,0
House,New real estate project - Houses,290632318103,,,,,,0,0,,0,,0,0,,0
,Residentie Ter Eike Puurs,348560389200,,,,,,0,0,,0,,0,0,,0
House,New real estate project - Houses,355000430000,,,,,,0,0,,0,,0,0,,0
House,House,,To be done up,174,101,169,4,0,0,2,1,73,1,0,,0
House,Town-house,375000,Good,163,82,200,4,0,0,2,1,72,1,1,9,0
,Rose Gardens,449000496000,,,,,,0,0,,0,,0,0,,0
House,House,459000,Just renovated,577,247,170,3,0,0,3,1,330,0,0,,0
House,House,320000,To renovate,549,549,178,5,0,1,4,1,,0,0,,0
House,House,339000,Just renovated,210,152,116,2,0,0,3,1,58,0,0,,0
House,Apartment block,349000,Good,69,69,220,4,0,0,2,0,,0,0,,1
House,House,350000,To renovate,294,105,154,3,0,0,3,1,189,0,0,,0
House,House,378000,Just renovated,98,78,238,4,0,1,2,0,,1,1,20,0
House,House,379000,Just renovated,334,334,235,5,0,0,3,1,,1,0,,0
House,House,379900,Just renovated,1023,383,154,3,0,0,4,1,600,1,1,40,0
House,House,395000,Good,484,484,250,3,0,0,3,0,,1,0,,0
House,Exceptional property,399900,To be done up,187,187,175,3,0,0,2,1,,0,0,,0
House,Town-house,425000,Good,302,175,245,4,0,1,3,1,127,1,0,,0
House,House,435000,Good,1794,1794,216,3,0,0,4,1,,0,0,,0
House,House,497000,Good,3242,3242,175,4,0,0,4,1,,0,0,,0
House,House,575000,Good,1610,-80,260,3,0,0,4,1,1610,1,1,80,0
House,House,599000,As new,1024,1024,350,4,0,0,4,0,,0,0,,0
House,Apartment block,849000,To be done up,99,99,325,4,0,0,2,0,,0,0,,1
House,House,,Good,49,49,66,1,0,0,2,0,,0,0,,0
House,House,259900,Good,156,86,115,2,0,0,2,1,70,0,0,,0
House,House,269000,Good,280,280,227,3,0,0,2,1,,1,0,,0
House,House,310000,Good,80,15,120,3,0,0,2,1,65,0,0,,0
House,House,369000,To be done up,915,915,269,4,0,0,4,1,,1,0,,0
House,Mixed-use building,420000,Good,480,480,385,3,0,1,2,0,,0,0,,1
House,Apartment block,949000,To renovate,179,179,490,10,0,0,3,0,,0,0,,1
House,House,449000,Good,6045,6045,165,3,0,0,4,1,,1,0,,0
House,Apartment block,325000,Good,68,68,125,2,0,0,2,0,,0,0,,1
House,House,375000,To renovate,873,122,231,3,0,0,4,1,741,0,1,10,0
House,House,398000,Good,210,210,192,3,0,0,2,0,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,Apartment block,490000,To be done up,167,167,300,5,1,1,2,0,,0,0,,1
House,House,429000,As new,224,134,250,4,0,1,2,1,80,0,1,10,0
House,House,215000,Good,177,177,119,2,0,0,3,1,,0,0,,0
House,House,279000,To renovate,310,310,195,3,0,0,2,1,,0,0,,0
House,House,299000,Good,74,68,126,2,0,0,2,0,,0,1,6,0
House,House,319000,Good,75,75,156,3,0,1,2,0,,0,0,,0
House,House,349000,To be done up,970,970,226,3,0,0,4,1,,0,0,,0
House,House,345000,To be done up,295,116,191,5,0,0,3,1,179,0,0,,0
House,House,359000,Good,633,633,145,4,0,0,3,1,,0,0,,0
House,House,359000,As new,400,400,185,3,0,0,3,1,,1,0,,0
House,House,365000,As new,538,538,185,3,0,0,3,1,,0,0,,0
House,House,369000,As new,356,356,200,3,0,0,3,1,,0,0,,0
House,Apartment block,385000,Good,116,72,182,5,0,0,2,1,44,0,0,,1
House,House,435000,Good,734,734,310,5,0,0,4,0,,0,0,,0
House,House,449000,Good,1455,1455,350,5,0,0,4,1,,1,0,,0
House,House,459900,Just renovated,1636,221,180,3,0,0,3,1,1400,0,1,15,0
House,Other properties,468000,Good,315,315,185,6,0,1,2,1,,1,0,,0
House,House,489000,Good,841,827,299,2,0,0,4,1,,0,1,14,0
House,House,195000,To be done up,44,44,71,2,0,0,2,0,,0,0,,0
House,House,239000,Just renovated,216,216,120,2,0,0,2,0,,0,0,,0
House,House,319000,To be done up,821,821,158,3,0,0,4,1,,0,0,,0
House,House,355000,Good,542,542,130,3,0,0,4,1,,0,0,,0
House,House,484900,Good,1770,1770,182,3,0,0,4,1,,0,0,,0
House,Exceptional property,249000,To renovate,280,40,172,2,0,0,2,1,120,0,1,120,0
House,Exceptional property,264950,To be done up,187,187,175,3,0,0,2,1,,0,0,,0
House,Apartment block,1295000,Good,277,125,350,7,0,0,2,1,70,0,1,82,1
House,House,229000,To renovate,310,310,214,4,0,0,3,0,,0,0,,0
House,House,259000,Good,153,153,114,3,0,1,2,1,,0,0,,0
House,House,279000,Good,236,108,114,2,0,0,2,1,128,0,0,,0
House,House,299000,To be done up,1314,1314,198,4,0,0,4,0,,0,0,,0
House,House,184000,As new,434,434,60,1,0,0,2,1,,0,0,,0
House,Mixed-use building,285000,Good,110,110,198,2,0,1,2,0,,0,0,,1
House,House,325000,Good,62,62,200,3,0,0,2,0,,0,0,,1
House,Apartment block,375000,To be done up,234,234,466,2,0,0,2,0,,1,0,,1
House,Exceptional property,598000,Good,268,148,260,5,0,1,2,1,110,0,1,10,0
House,House,187000,To be done up,131,131,90,3,0,0,2,0,,0,0,,0
House,House,275000,Good,173,173,162,4,0,0,2,1,,0,0,,0
House,House,259000,Good,360,360,170,3,0,1,3,1,,0,0,,0
House,House,259000,Good,180,90,138,3,0,1,2,1,90,1,0,,0
House,House,439000,Good,798,798,230,3,0,1,4,0,,1,0,,0
House,Town-house,379000,Good,76,76,223,4,0,0,2,1,,0,0,,0
House,Mixed-use building,198000,Just renovated,241,240,252,4,0,0,3,0,,1,1,1,1
House,House,225000,To be done up,100,55,110,3,0,0,2,1,35,0,1,10,0
House,Town-house,324500,Good,168,168,162,3,0,0,2,1,,0,0,,0
House,House,339500,Good,250,65,172,4,0,0,2,1,185,0,0,,0
House,House,350000,Good,320,80,200,5,0,0,3,1,240,0,0,,0
House,House,359000,Just renovated,93,79,210,5,0,0,2,0,,0,1,14,0
House,House,397500,As new,136,96,140,3,0,1,3,1,40,0,0,,0
House,House,490000,To renovate,187,117,198,4,0,0,2,1,70,0,0,,0
House,House,520000,To renovate,1984,65,132,3,0,0,4,1,1857,0,1,62,0
House,House,525000,Good,2154,2154,229,4,0,0,4,0,,0,0,,0
House,House,545000,Good,196,196,273,3,0,0,2,0,,0,0,,0
House,Apartment block,1590000,Good,345,345,609,9,1,1,2,0,,0,0,,1
House,House,269000,To be done up,162,150,135,3,0,0,2,1,,0,1,12,0
House,House,369000,Just renovated,180,180,165,4,0,1,2,0,,0,0,,0
House,House,235000,Good,332,294,149,3,0,0,2,0,,0,1,38,1
House,Town-house,315000,Good,224,224,164,3,0,0,2,0,,0,0,,0
House,House,339900,Good,774,774,186,2,0,0,4,0,,1,0,,0
House,House,349000,As new,178,178,175,4,0,0,2,1,,0,0,,0
House,House,495000,As new,577,577,238,4,0,0,4,1,,0,0,,0
House,House,369000,Good,,,160,3,0,0,2,1,65,0,1,22,0
House,House,,To renovate,889,889,160,4,0,0,3,0,,0,0,,0
House,House,239000,Good,422,422,180,3,0,0,3,0,,0,0,,0
House,House,279000,Good,371,371,126,3,0,0,3,1,,0,0,,0
House,House,285000,Good,89,89,230,4,0,0,2,0,,0,0,,0
House,House,315000,Good,341,341,161,3,0,1,3,1,,0,0,,0
House,House,344000,Good,619,619,171,4,0,1,4,0,,0,0,,0
House,Apartment block,386000,As new,112,112,218,4,0,0,2,0,,0,0,,1
House,House,449000,As new,1505,1505,216,3,0,0,4,1,,0,0,,0
House,House,450000,,872,118,184,4,0,0,3,1,724,0,1,30,0
House,House,465000,Good,1139,1139,287,6,0,0,4,1,,0,0,,0
House,House,494000,Good,422,422,179,3,0,0,3,1,,1,0,,0
House,House,582500,Good,450,248,194,4,0,0,3,1,168,0,1,34,0
House,Mixed-use building,249000,Good,130,110,110,1,0,0,2,1,10,0,1,10,1
House,Exceptional property,349000,Good,138,38,150,4,0,1,2,1,100,0,0,,0
House,House,395000,To be done up,274,149,237,4,0,0,3,1,115,0,1,10,0
House,House,319000,,185,185,123,3,0,0,2,1,,0,0,,0
House,Mixed-use building,595000,,1076,1076,238,5,0,0,4,1,,0,0,,1
House,House,419000,Good,970,950,218,3,0,0,4,1,,1,1,20,0
House,House,375000,Good,358,358,190,4,0,0,3,0,,0,0,,0
House,Apartment block,325000,,153,79,166,3,0,0,,1,70,0,1,4,1
House,House,195000,Good,107,67,90,2,0,0,2,1,40,0,0,,0
House,Town-house,230000,To be done up,51,46,112,3,0,0,2,0,,0,1,5,0
House,House,234000,To renovate,129,64,102,2,0,0,2,1,65,0,0,,0
House,House,235000,Good,269,269,140,2,0,0,2,0,,0,0,,0
House,House,279000,Just renovated,298,198,172,3,0,0,2,1,100,0,0,,0
House,House,280000,Good,332,332,125,3,0,0,2,0,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,House,298000,Good,410,410,185,4,0,0,3,0,,0,0,,0
House,Town-house,299000,Good,194,99,159,3,0,0,2,1,95,0,0,,0
House,House,305000,Good,263,263,137,3,0,0,2,1,,0,0,,0
House,House,314500,Just renovated,168,168,150,3,0,0,2,1,,0,0,,0
House,House,319000,Good,285,285,130,2,0,0,2,0,,0,0,,0
House,Mansion,329000,Good,42,42,159,3,0,0,2,1,,0,0,,0
House,House,345000,Just renovated,56,56,136,3,0,0,3,0,,0,0,,0
House,House,345000,As new,104,84,130,4,0,1,2,0,,0,1,20,0
House,House,360000,Good,325,175,162,3,0,0,3,1,150,0,0,,0
House,House,368000,To be done up,106,106,220,6,0,0,2,0,,0,0,,0
House,House,389000,As new,300,300,141,3,0,0,3,1,,0,0,,0
House,House,395000,Good,329,329,173,3,0,1,3,1,,0,0,,0
House,House,415000,As new,509,509,258,3,0,1,4,1,,1,0,,0
House,Apartment block,475000,To be done up,75,66,170,,0,0,2,0,,0,1,9,1
,,,,,,,,0,0,,0,,0,0,,
House,Mixed-use building,485000,Good,86,71,260,4,0,0,2,0,,0,1,15,1
House,House,499000,Good,1018,318,263,4,0,1,4,1,700,0,0,,1
House,Villa,524900,As new,1546,1546,206,3,0,0,4,1,,1,0,,0
House,Mixed-use building,525000,Good,144,104,160,2,0,1,2,0,,1,1,40,1
House,Apartment block,550000,Good,240,240,259,4,0,0,2,0,,0,0,,1
House,House,595000,To renovate,432,172,360,4,0,0,2,1,200,0,1,60,0
House,Apartment block,595000,To renovate,432,172,360,4,0,0,2,1,200,0,1,60,1
House,House,625000,To renovate,973,133,321,7,0,0,4,1,840,0,0,,0
House,House,849000,Good,,,249,4,0,0,4,0,,0,0,,0
House,Apartment block,1070000,,250,195,392,7,0,0,2,1,53,0,1,2,1
House,Villa,1099000,To renovate,5483,2233,500,5,0,0,4,1,3150,0,1,100,0
House,House,1099000,To renovate,5483,2233,500,5,0,0,4,1,3150,0,1,100,0
House,Apartment block,1100000,,250,191,392,7,0,0,2,1,57,0,1,2,1
House,Apartment block,1350000,To be done up,250,250,668,16,0,0,2,0,,0,0,,1
House,Apartment block,1375000,As new,130,124,475,6,1,0,2,0,,0,1,6,1
House,Bungalow,429000,Good,4795,4795,240,3,0,0,4,1,,1,0,,0
House,Apartment block,295000,To be done up,48,48,185,4,0,0,2,0,,0,0,,1
House,Mansion,425000,Good,304,300,354,4,0,0,4,0,,0,1,4,0
House,House,149000,To renovate,80,80,141,3,0,0,2,0,,0,0,,0
House,House,165000,To renovate,177,117,120,2,0,0,2,1,60,1,0,,0
House,Manor house,240000,To renovate,1407,1407,156,3,0,0,4,1,,0,0,,0
House,House,249000,To be done up,973,973,142,3,0,0,4,1,,0,0,,0
House,House,255000,To be done up,230,230,157,2,0,0,2,1,,0,0,,0
House,House,265000,Good,170,141,180,3,0,0,2,1,,0,1,29,0
House,House,269000,Just renovated,133,93,120,2,0,0,2,1,40,0,0,,0
House,House,275000,Good,249,162,160,3,0,0,2,1,55,0,1,32,0
House,House,279000,To renovate,700,112,112,3,0,0,4,1,588,1,0,,0
House,House,285000,To be done up,347,347,177,3,0,0,3,1,,0,0,,0
House,Apartment block,295000,Good,47,47,127,3,0,0,2,0,,0,0,,1
House,House,298000,Good,242,205,218,3,0,0,3,0,,0,1,37,0
House,House,299000,To be done up,175,175,107,2,0,0,2,1,,0,0,,0
House,House,325000,To renovate,64,64,163,3,0,0,2,0,,0,0,,0
House,Villa,475000,As new,1493,1423,364,4,0,0,4,1,,0,1,70,0
House,House,385000,Good,190,190,151,2,0,0,2,1,,0,0,,0
House,House,310000,Good,433,433,201,4,0,0,2,0,,0,0,,0
House,House,269000,Good,136,76,138,2,0,0,2,1,60,0,0,,1
House,House,275000,To be done up,350,350,159,3,0,0,4,0,,0,0,,0
House,House,349500,To renovate,700,118,175,4,0,0,2,1,582,0,0,,0
House,House,449000,As new,3974,3909,140,2,0,0,3,1,57,0,1,8,0
House,House,469000,As new,3974,3902,157,3,0,0,3,1,64,0,1,8,0
House,House,469000,As new,3974,3903,155,3,0,0,3,1,63,0,1,8,0
House,House,489000,As new,3974,3844,140,2,0,0,3,1,122,0,1,8,0
House,House,496000,As new,3974,3924,183,3,0,0,3,1,42,0,1,8,0
,,,,,,,,0,0,,0,,0,0,,
House,House,769000,As new,1026,1026,405,3,0,1,4,1,,1,0,,0
House,House,279000,Good,295,295,120,3,0,0,4,1,,0,0,,0
House,House,499000,As new,2305,2305,163,3,0,1,4,0,,0,0,,0
House,House,185000,Good,150,150,80,2,0,0,2,0,,0,0,,0
House,House,339000,To be done up,660,200,196,4,0,1,3,1,445,0,1,15,0
House,House,435000,As new,302,108,168,3,0,0,2,1,170,0,1,24,0
House,House,439000,As new,166,166,,4,0,0,2,0,,0,0,,0
House,House,445000,As new,176,176,,4,0,0,2,0,,0,0,,0
House,House,310000,As new,330,126,130,3,0,0,2,1,180,0,1,24,0
House,House,545000,Good,1069,441,220,3,0,0,4,1,600,1,1,28,0
House,House,84000,To be done up,1270,43,60,1,0,0,4,1,1200,0,1,27,0
House,House,195000,Good,52,52,98,2,0,0,2,1,,0,0,,0
House,House,209500,Good,70,59,117,2,0,0,2,0,,0,1,11,0
House,House,219000,To renovate,93,68,144,3,0,0,2,0,,0,1,25,0
House,House,219000,To renovate,125,92,155,2,0,0,2,1,33,0,0,,0
House,House,219000,Good,95,95,125,3,0,0,2,0,,0,0,,0
House,House,228000,To be done up,96,96,116,2,0,0,3,1,,0,0,,0
House,House,229000,Good,108,88,118,2,0,0,2,1,,0,1,20,0
House,House,235000,To renovate,539,539,140,3,0,0,4,1,,0,0,,0
House,House,249000,To renovate,150,150,140,5,0,0,2,0,,0,0,,0
House,House,269000,To renovate,602,602,253,4,0,0,3,1,,0,0,,0
House,Exceptional property,274000,Good,172,117,105,2,0,0,2,1,55,1,0,,0
House,House,275000,To renovate,1045,168,108,3,0,0,4,1,877,0,0,,0
House,House,287000,To be done up,151,131,104,2,0,0,2,1,20,0,0,,0
House,House,299000,As new,165,165,143,2,0,0,2,1,,0,0,,0
House,House,310000,To be done up,617,617,213,3,0,0,3,1,,0,0,,0
House,House,310000,Good,485,485,176,4,0,0,3,1,,0,0,,0
House,House,315000,Good,484,484,170,3,0,0,4,0,,0,0,,0
House,House,345000,To be done up,236,236,141,3,0,0,3,1,,1,0,,0
House,House,367500,Just renovated,228,190,138,2,0,0,2,0,,0,1,38,0
House,House,,Good,910,338,174,5,0,0,4,1,572,0,0,,0
House,House,380000,As new,346,346,225,3,0,0,3,1,,1,0,,0
House,House,385000,Good,775,775,150,3,0,0,4,0,,0,0,,0
House,House,419000,Good,746,546,205,3,0,0,4,1,200,1,0,,0
House,Apartment block,429000,Good,53,53,166,4,1,0,2,0,,0,0,,1
House,House,449000,To renovate,175,175,295,6,0,1,2,1,,0,0,,1
House,Mixed-use building,449000,To be done up,378,298,507,3,0,0,3,1,80,0,0,,1
House,House,469000,Good,3000,3000,150,3,0,0,4,0,,0,0,,0
House,Mansion,469000,Good,105,82,175,3,0,1,2,0,,0,1,23,0
House,House,499000,To renovate,3454,454,164,3,0,0,4,1,3000,0,0,,0
House,Mixed-use building,549000,To be done up,98,98,260,6,0,1,2,0,,0,0,,1
House,Apartment block,550000,Just renovated,106,106,255,5,0,0,2,0,,0,0,,1
House,Villa,579000,To be done up,2995,2995,284,3,0,0,4,1,,1,0,,0
House,House,629000,Good,338,165,350,5,0,1,2,1,145,1,1,28,1
House,House,299000,Good,409,409,,4,0,0,4,0,,0,0,,0
House,House,775000,To renovate,1039,139,185,3,0,0,3,1,900,1,0,,0
House,House,225000,,278,278,160,3,0,0,4,1,,0,0,,0
House,House,249000,To renovate,1172,1172,,3,0,0,4,0,,0,0,,0
House,Town-house,285000,Good,397,397,175,3,0,0,3,1,,0,0,,0
House,House,349000,,1288,1288,125,3,0,0,4,0,,0,0,,0
House,House,387000,Good,791,791,223,4,0,0,4,0,,0,0,,0
House,House,589500,As new,545,200,281,7,0,0,,1,320,0,1,25,0
House,House,324500,Good,,,154,3,0,0,2,1,80,1,0,,0
,SIE/20/029,374000,,,,,,0,0,,0,,0,0,,1
House,House,399000,Good,608,307,240,5,0,1,4,1,300,0,1,1,0
House,Exceptional property,339000,,420,420,160,3,0,0,2,1,,0,0,,0
House,House,359000,Good,314,314,136,3,0,0,3,0,,0,0,,0
House,House,215000,To be done up,106,106,140,2,0,0,2,0,,0,0,,0
House,House,265000,Good,420,420,159,3,0,0,3,0,,0,0,,0
House,House,269000,To be done up,118,118,282,4,0,0,3,0,,0,0,,0
House,House,375000,As new,200,90,120,2,0,0,2,1,94,0,1,16,0
House,House,389000,Good,341,341,133,3,0,1,3,0,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,Exceptional property,419000,To be done up,1136,1136,219,4,0,0,4,0,,0,0,,0
House,House,525000,Good,1145,1145,240,4,0,0,3,1,,0,0,,0
House,House,229000,To renovate,524,524,170,4,0,0,3,0,,0,0,,0
House,House,315000,To renovate,1017,1017,,3,0,0,,1,,0,0,,0
House,Villa,525000,As new,1231,489,197,3,0,1,4,1,627,0,1,115,0
House,House,349000,Good,225,225,234,3,0,0,,1,,0,0,,0
House,House,265000,To be done up,249,176,191,2,0,0,2,1,65,0,1,8,0
House,House,279000,To renovate,460,460,225,3,0,0,3,0,,0,0,,0
House,House,325000,To be done up,612,612,216,3,0,0,3,1,,0,0,,0
House,House,369000,,528,528,132,3,0,0,4,0,,0,0,,0
House,House,319000,Good,205,70,129,4,0,0,2,1,110,0,1,25,0
House,House,398000,As new,285,215,220,3,0,0,3,1,,0,1,70,0
House,House,,As new,38,38,97,2,0,0,1,0,,0,0,,0
House,House,348000,Just renovated,102,102,160,3,0,1,2,1,,0,0,,0
House,House,350000,As new,116,89,153,3,0,0,2,0,,0,1,27,0
House,House,399000,Good,,,266,3,0,0,4,1,,1,0,,0
House,House,550000,Good,410,408,167,3,0,0,3,1,1,1,1,1,0
House,House,155000,To renovate,17,17,50,2,0,0,2,0,,0,0,,0
House,House,215000,To renovate,533,533,115,2,0,0,4,1,,0,0,,0
House,House,249000,Good,1026,1026,144,4,0,0,3,1,,0,0,,0
House,House,289000,To renovate,995,995,150,3,0,0,4,0,,0,0,,0
House,House,323300,,133,133,145,3,0,0,2,0,,0,0,,0
House,House,374000,Good,280,280,126,4,0,0,,0,,0,0,,0
House,House,375000,Good,755,755,265,3,0,0,4,1,,0,0,,0
House,Apartment block,385000,To be done up,144,144,285,,0,0,2,0,,0,0,,1
House,House,395000,To renovate,350,350,147,3,0,0,2,0,,0,0,,0
House,Mixed-use building,739000,Good,471,471,700,5,0,0,2,0,,1,0,,1
House,Villa,450000,,900,900,172,3,0,0,4,1,,0,0,,0
House,House,190000,To renovate,190,190,250,,0,0,2,0,,0,0,,0
House,House,217000,Good,44,44,95,1,0,0,2,0,,0,0,,0
House,House,249000,To renovate,1104,1104,189,4,0,0,4,1,,0,0,,0
House,Manor house,545000,To renovate,14082,14082,,4,0,0,4,1,,0,0,,0
House,House,172500,To renovate,405,405,85,3,0,0,3,0,,0,0,,0
House,House,269000,,218,218,,2,0,0,,1,,0,0,,0
House,Apartment block,1150000,As new,869,869,,5,0,0,2,0,,0,0,,1
House,House,345000,,254,80,234,4,0,0,2,1,174,0,0,,0
House,Villa,795000,As new,789,789,264,4,0,1,,1,,0,0,,0
House,House,540000,Good,624,624,313,3,0,1,4,0,,0,0,,0
House,House,395000,,1050,1050,240,3,0,1,,1,,1,0,,0
House,Bungalow,155000,Good,1269,1269,80,3,0,0,4,0,,1,0,,0
House,House,220000,As new,153,98,103,2,0,0,2,1,55,0,0,,0
House,House,235000,Good,50,47,135,4,0,0,2,0,,0,1,3,0
House,House,240000,To be done up,93,93,225,3,0,1,2,0,,0,0,,0
House,House,240000,Just renovated,73,73,100,3,0,0,2,0,,0,0,,0
House,House,248000,To renovate,704,146,150,3,0,0,4,1,500,0,1,58,1
House,House,269500,To renovate,96,64,160,3,0,0,2,1,16,0,1,16,0
House,House,279900,,650,150,165,3,0,0,3,1,500,0,0,,0
House,Town-house,289000,To renovate,147,55,156,4,0,0,2,1,85,0,1,7,0
House,Mixed-use building,289000,To be done up,1463,1463,240,4,0,0,4,0,,0,0,,1
House,House,299000,Good,413,413,157,3,0,0,3,1,,1,0,,0
House,House,299000,Good,714,714,165,4,0,1,4,0,,0,0,,0
House,House,299500,Good,50,50,125,3,0,0,4,0,,0,0,,0
House,House,319500,To renovate,235,100,190,5,0,0,2,1,135,0,0,,0
House,House,325000,Good,100,100,240,4,0,0,2,0,,0,0,,0
House,Town-house,325000,As new,,,120,3,0,0,2,1,80,0,1,6,0
House,House,345000,Good,850,850,160,3,0,0,4,0,,0,0,,0
House,Manor house,349000,Good,950,950,200,5,0,0,4,1,,0,0,,0
House,House,349000,To be done up,894,894,216,4,0,0,3,0,,0,0,,1
House,House,350000,Good,100,100,298,4,0,1,2,0,,0,0,,0
House,House,365000,Good,557,557,191,3,0,0,4,1,,0,0,,0
House,Apartment block,375000,Good,103,103,220,,0,0,2,0,,0,0,,1
House,Mixed-use building,375000,Good,103,103,220,,0,0,2,0,,0,0,,1
House,House,395000,Good,325,325,248,6,0,1,2,0,,0,0,,0
House,House,419000,As new,778,778,265,4,0,0,4,1,,1,0,,0
House,Apartment block,429000,Good,88,88,175,3,0,0,2,0,,0,0,,1
House,House,449000,Good,,,365,2,0,1,2,0,,0,0,,0
House,House,515000,Good,3932,3932,348,4,0,0,4,1,,1,0,,0
House,Mixed-use building,659000,As new,210,210,409,3,0,0,3,0,,0,0,,1
House,House,870000,Good,1094,1094,362,5,0,0,,0,,0,0,,0
House,House,2295000,To be done up,7779,7779,730,6,0,0,4,0,,0,0,,0
House,Exceptional property,2295000,To be done up,7779,7779,730,6,0,0,4,0,,0,0,,0
House,Villa,2295000,To be done up,7779,7779,730,6,0,0,4,0,,0,0,,0
House,Town-house,385000,To be done up,130,85,190,3,0,0,1,1,20,0,1,25,0
House,House,384500,As new,157,131,141,3,0,0,,1,26,0,0,,0
House,House,259000,Good,180,97,160,3,0,0,2,1,70,0,1,13,0
House,House,265000,To renovate,275,275,,3,0,0,3,1,,0,0,,0
House,House,297000,As new,95,95,146,3,0,0,,1,,0,0,,0
House,House,95000,To be done up,282,282,54,1,0,0,2,1,,0,0,,0
House,House,245000,To be done up,283,153,130,2,0,0,2,1,130,0,0,,0
House,House,269000,Good,222,222,138,3,0,0,3,1,,0,0,,0
House,House,289000,,336,336,185,4,0,0,2,0,,0,0,,0
House,House,395000,,766,766,152,4,0,0,4,0,,1,0,,0
House,House,259000,As new,47,40,75,2,0,0,2,0,,0,1,7,0
House,House,165000,To renovate,109,76,163,4,0,0,2,0,,0,1,33,0
House,Mansion,469000,To be done up,151,88,245,5,0,0,2,1,47,0,1,16,0
House,House,185000,,445,445,163,3,0,0,,0,,0,0,,0
House,House,335000,To be done up,183,183,124,3,0,0,,0,,0,0,,0
House,House,367000,As new,,,170,3,0,0,2,1,66,0,1,19,0
House,House,373800,As new,,,170,3,0,0,3,1,46,0,1,19,0
House,House,374500,As new,,,170,3,0,0,3,1,46,0,1,25,0
House,House,374500,As new,,,170,3,0,0,3,1,46,0,1,25,0
House,House,381300,As new,,,170,3,0,0,3,1,186,0,1,21,0
House,House,386200,As new,,,170,3,0,0,3,1,289,0,1,25,0
House,House,489000,Good,1005,1005,200,3,0,0,,1,,0,0,,0
House,House,649000,As new,1207,148,212,3,0,0,4,1,1014,1,1,45,0
House,House,435000,As new,165,105,,4,0,0,3,1,60,0,0,,0
House,House,445000,,210,192,219,4,0,0,,1,,1,1,18,0
,,,,,,,,0,0,,0,,0,0,,
House,House,350000,,479,479,185,3,0,0,,1,,0,0,,0
House,House,429000,,313,313,118,3,0,0,3,1,,0,0,,0
House,House,498000,,314,314,289,6,0,0,2,1,,0,0,,0
House,House,349000,Good,245,105,120,3,0,0,2,1,120,0,1,20,0
House,House,215000,To renovate,291,291,130,2,0,0,3,1,,0,0,,0
House,House,225000,Good,93,93,110,2,0,0,2,0,,0,0,,0
House,House,229000,To be done up,209,134,125,3,0,0,2,1,75,0,0,,0
House,House,235000,Good,151,151,122,3,0,0,2,0,,0,0,,0
House,House,239000,To renovate,662,662,,3,0,0,4,0,,0,0,,0
House,House,248000,Good,209,116,135,3,0,0,2,0,,0,1,93,0
,,,,,,,,0,0,,0,,0,0,,
House,House,259000,Good,367,367,,3,0,0,4,1,,0,0,,0
House,House,265000,To renovate,179,179,155,3,0,0,3,1,,0,0,,0
House,House,269000,,115,85,139,4,0,0,2,1,30,0,0,,0
House,Bungalow,289000,To be done up,984,984,94,2,0,0,4,0,,0,0,,0
House,House,295000,Good,196,84,,4,0,1,2,1,100,0,1,12,0
House,Bungalow,299000,To be done up,1290,1290,150,2,0,0,4,0,,0,0,,0
House,House,299750,,444,169,164,3,0,0,3,1,260,0,1,15,0
House,House,315000,,134,59,140,3,0,0,2,1,75,0,0,,0
House,House,320000,As new,430,430,,4,0,0,4,1,,1,0,,1
House,House,332500,,400,125,178,3,0,0,3,1,260,0,1,15,0
House,House,343500,,450,175,200,3,0,0,3,1,260,0,1,15,0
House,House,347500,,450,175,200,3,0,0,3,1,260,0,1,15,0
House,House,349000,Good,2015,2015,132,3,0,1,4,0,,0,0,,0
House,House,349900,Good,776,776,222,4,0,0,4,1,,0,0,,0
House,House,362000,,700,700,200,4,0,0,4,1,,0,0,,1
