Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,House,259000,Good,510,510,120,3,0,0,4,0,,0,0,,0
House,House,283000,Good,170,170,123,3,0,0,2,0,,0,0,,0
House,House,369000,,463,148,180,4,0,0,3,1,315,0,0,,0
House,House,475000,To renovate,2790,2790,190,4,0,0,4,1,,0,0,,0
House,House,469000,As new,220,88,180,4,0,0,2,1,102,0,1,30,0
House,Villa,645000,As new,1361,761,300,4,0,1,4,1,500,1,1,100,0
House,House,425000,Just renovated,898,828,395,5,0,1,4,1,,0,1,70,
House,House,459000,As new,536,286,234,4,0,1,,1,250,0,0,,0
House,House,298000,As new,100,54,100,3,0,0,2,1,30,0,1,16,0
House,House,400000,,151,118,210,5,0,0,3,1,16,0,1,17,0
House,Mansion,695000,As new,77,52,320,3,0,1,2,1,10,0,1,15,0
House,House,199000,To renovate,625,155,153,2,0,0,3,1,440,0,1,30,
House,House,210000,Good,54,54,76,2,0,0,2,0,,0,0,,0
House,House,220000,To renovate,244,131,181,3,0,0,3,1,113,0,0,,0
House,House,324000,,310,310,215,4,0,0,2,0,,0,0,,0
House,Town-house,325000,Good,220,65,192,3,0,0,1,1,145,1,1,10,
House,Town-house,335000,Good,246,66,176,3,0,0,2,1,150,0,1,30,0
House,House,355000,Just renovated,335,191,140,2,0,0,3,1,120,0,1,24,0
House,House,359000,Just renovated,196,93,179,4,0,0,3,1,63,0,1,40,0
House,House,362500,To renovate,1500,175,196,4,0,0,4,1,1304,0,1,21,0
House,House,369000,Good,188,77,160,3,0,0,2,1,84,0,1,27,0
House,House,389000,Good,195,195,260,3,0,0,2,0,,0,0,,
House,House,420000,Good,93,63,240,9,0,1,2,1,30,0,0,,0
House,House,424000,As new,175,59,130,4,0,0,2,1,95,0,1,21,0
,,,,,,,,0,0,,0,,0,0,,
House,House,480000,As new,238,132,149,3,0,0,3,1,85,0,1,21,0
House,Villa,549000,As new,770,480,210,3,0,0,4,1,250,1,1,40,0
House,House,550000,Good,1118,1068,233,3,0,0,4,0,,1,1,50,0
House,Mansion,598000,Good,330,50,296,4,0,1,2,1,280,0,0,,0
House,Apartment block,685000,As new,65,65,150,3,0,1,2,0,,0,0,,1
House,Villa,698000,Just renovated,1210,1210,255,4,0,0,4,1,,0,0,,
House,Villa,785000,As new,1000,340,380,3,0,1,4,1,600,1,1,60,0
House,Manor house,850000,Good,20000,20000,284,3,0,0,4,1,,0,0,,0
